id_producto,tipo_movimiento,cantidad,motivo,usuario
1,SALIDA,1000,Retirada masiva inventario,admin
2,SALIDA,1000,Retirada masiva inventario,admin
3,SALIDA,1000,Retirada masiva inventario,admin
4,SALIDA,1000,Retirada masiva inventario,admin
5,SALIDA,1000,Retirada masiva inventario,admin
6,SALIDA,1000,Retirada masiva inventario,admin
7,SALIDA,1000,Retirada masiva inventario,admin
8,SALIDA,1000,Retirada masiva inventario,admin
9,SALIDA,1000,Retirada masiva inventario,admin
10,SALIDA,1000,Retirada masiva inventario,admin
11,SALIDA,1000,Retirada masiva inventario,admin
12,SALIDA,1000,Retirada masiva inventario,admin
13,SALIDA,1000,Retirada masiva inventario,admin
14,SALIDA,1000,Retirada masiva inventario,admin
15,SALIDA,1000,Retirada masiva inventario,admin
16,SALIDA,1000,Retirada masiva inventario,admin
17,SALIDA,1000,Retirada masiva inventario,admin
18,SALIDA,1000,Retirada masiva inventario,admin
19,SALIDA,1000,Retirada masiva inventario,admin
20,SALIDA,1000,Retirada masiva inventario,admin
21,SALIDA,1000,Retirada masiva inventario,admin
22,SALIDA,1000,Retirada masiva inventario,admin
23,SALIDA,1000,Retirada masiva inventario,admin
24,SALIDA,1000,Retirada masiva inventario,admin
25,SALIDA,1000,Retirada masiva inventario,admin
26,SALIDA,1000,Retirada masiva inventario,admin
27,SALIDA,1000,Retirada masiva inventario,admin
28,SALIDA,1000,Retirada masiva inventario,admin
29,SALIDA,1000,Retirada masiva inventario,admin
30,SALIDA,1000,Retirada masiva inventario,admin
31,SALIDA,1000,Retirada masiva inventario,admin
32,SALIDA,1000,Retirada masiva inventario,admin
33,SALIDA,1000,Retirada masiva inventario,admin
34,SALIDA,1000,Retirada masiva inventario,admin
35,SALIDA,1000,Retirada masiva inventario,admin
36,SALIDA,1000,Retirada masiva inventario,admin
37,SALIDA,1000,Retirada masiva inventario,admin
38,SALIDA,1000,Retirada masiva inventario,admin
39,SALIDA,1000,Retirada masiva inventario,admin
40,SALIDA,1000,Retirada masiva inventario,admin
41,SALIDA,1000,Retirada masiva inventario,admin
42,SALIDA,1000,Retirada masiva inventario,admin
43,SALIDA,1000,Retirada masiva inventario,admin
44,SALIDA,1000,Retirada masiva inventario,admin
45,SALIDA,1000,Retirada masiva inventario,admin
46,SALIDA,1000,Retirada masiva inventario,admin
47,SALIDA,1000,Retirada masiva inventario,admin
48,SALIDA,1000,Retirada masiva inventario,admin
49,SALIDA,1000,Retirada masiva inventario,admin
50,SALIDA,1000,Retirada masiva inventario,admin
51,SALIDA,1000,Retirada masiva inventario,admin
52,SALIDA,1000,Retirada masiva inventario,admin
53,SALIDA,1000,Retirada masiva inventario,admin
54,SALIDA,1000,Retirada masiva inventario,admin
55,SALIDA,1000,Retirada masiva inventario,admin
56,SALIDA,1000,Retirada masiva inventario,admin
57,SALIDA,1000,Retirada masiva inventario,admin
58,SALIDA,1000,Retirada masiva inventario,admin
59,SALIDA,1000,Retirada masiva inventario,admin
60,SALIDA,1000,Retirada masiva inventario,admin
61,SALIDA,1000,Retirada masiva inventario,admin
62,SALIDA,1000,Retirada masiva inventario,admin
63,SALIDA,1000,Retirada masiva inventario,admin
64,SALIDA,1000,Retirada masiva inventario,admin
65,SALIDA,1000,Retirada masiva inventario,admin
66,SALIDA,1000,Retirada masiva inventario,admin
67,SALIDA,1000,Retirada masiva inventario,admin
68,SALIDA,1000,Retirada masiva inventario,admin
69,SALIDA,1000,Retirada masiva inventario,admin
70,SALIDA,1000,Retirada masiva inventario,admin
71,SALIDA,1000,Retirada masiva inventario,admin
72,SALIDA,1000,Retirada masiva inventario,admin
73,SALIDA,1000,Retirada masiva inventario,admin
74,SALIDA,1000,Retirada masiva inventario,admin
75,SALIDA,1000,Retirada masiva inventario,admin
76,SALIDA,1000,Retirada masiva inventario,admin
77,SALIDA,1000,Retirada masiva inventario,admin
78,SALIDA,1000,Retirada masiva inventario,admin
79,SALIDA,1000,Retirada masiva inventario,admin
80,SALIDA,1000,Retirada masiva inventario,admin
81,SALIDA,1000,Retirada masiva inventario,admin
82,SALIDA,1000,Retirada masiva inventario,admin
83,SALIDA,1000,Retirada masiva inventario,admin
84,SALIDA,1000,Retirada masiva inventario,admin
85,SALIDA,1000,Retirada masiva inventario,admin
86,SALIDA,1000,Retirada masiva inventario,admin
87,SALIDA,1000,Retirada masiva inventario,admin
88,SALIDA,1000,Retirada masiva inventario,admin
89,SALIDA,1000,Retirada masiva inventario,admin
90,SALIDA,1000,Retirada masiva inventario,admin
91,SALIDA,1000,Retirada masiva inventario,admin
92,SALIDA,1000,Retirada masiva inventario,admin
93,SALIDA,1000,Retirada masiva inventario,admin
94,SALIDA,1000,Retirada masiva inventario,admin
95,SALIDA,1000,Retirada masiva inventario,admin
96,SALIDA,1000,Retirada masiva inventario,admin
97,SALIDA,1000,Retirada masiva inventario,admin
98,SALIDA,1000,Retirada masiva inventario,admin
99,SALIDA,1000,Retirada masiva inventario,admin
100,SALIDA,1000,Retirada masiva inventario,admin
101,SALIDA,1000,Retirada masiva inventario,admin
102,SALIDA,1000,Retirada masiva inventario,admin
103,SALIDA,1000,Retirada masiva inventario,admin
104,SALIDA,1000,Retirada masiva inventario,admin
105,SALIDA,1000,Retirada masiva inventario,admin
106,SALIDA,1000,Retirada masiva inventario,admin
107,SALIDA,1000,Retirada masiva inventario,admin
108,SALIDA,1000,Retirada masiva inventario,admin
109,SALIDA,1000,Retirada masiva inventario,admin
110,SALIDA,1000,Retirada masiva inventario,admin
111,SALIDA,1000,Retirada masiva inventario,admin
112,SALIDA,1000,Retirada masiva inventario,admin
113,SALIDA,1000,Retirada masiva inventario,admin
114,SALIDA,1000,Retirada masiva inventario,admin
115,SALIDA,1000,Retirada masiva inventario,admin
116,SALIDA,1000,Retirada masiva inventario,admin
117,SALIDA,1000,Retirada masiva inventario,admin
118,SALIDA,1000,Retirada masiva inventario,admin
119,SALIDA,1000,Retirada masiva inventario,admin
120,SALIDA,1000,Retirada masiva inventario,admin
121,SALIDA,1000,Retirada masiva inventario,admin
122,SALIDA,1000,Retirada masiva inventario,admin
123,SALIDA,1000,Retirada masiva inventario,admin
124,SALIDA,1000,Retirada masiva inventario,admin
125,SALIDA,1000,Retirada masiva inventario,admin
126,SALIDA,1000,Retirada masiva inventario,admin
127,SALIDA,1000,Retirada masiva inventario,admin
128,SALIDA,1000,Retirada masiva inventario,admin
129,SALIDA,1000,Retirada masiva inventario,admin
130,SALIDA,1000,Retirada masiva inventario,admin
131,SALIDA,1000,Retirada masiva inventario,admin
132,SALIDA,1000,Retirada masiva inventario,admin
133,SALIDA,1000,Retirada masiva inventario,admin
134,SALIDA,1000,Retirada masiva inventario,admin
135,SALIDA,1000,Retirada masiva inventario,admin
136,SALIDA,1000,Retirada masiva inventario,admin
137,SALIDA,1000,Retirada masiva inventario,admin
138,SALIDA,1000,Retirada masiva inventario,admin
139,SALIDA,1000,Retirada masiva inventario,admin
140,SALIDA,1000,Retirada masiva inventario,admin
141,SALIDA,1000,Retirada masiva inventario,admin
142,SALIDA,1000,Retirada masiva inventario,admin
143,SALIDA,1000,Retirada masiva inventario,admin
144,SALIDA,1000,Retirada masiva inventario,admin
145,SALIDA,1000,Retirada masiva inventario,admin
146,SALIDA,1000,Retirada masiva inventario,admin
147,SALIDA,1000,Retirada masiva inventario,admin
148,SALIDA,1000,Retirada masiva inventario,admin
149,SALIDA,1000,Retirada masiva inventario,admin
150,SALIDA,1000,Retirada masiva inventario,admin
151,SALIDA,1000,Retirada masiva inventario,admin
152,SALIDA,1000,Retirada masiva inventario,admin
153,SALIDA,1000,Retirada masiva inventario,admin
154,SALIDA,1000,Retirada masiva inventario,admin
155,SALIDA,1000,Retirada masiva inventario,admin
156,SALIDA,1000,Retirada masiva inventario,admin
157,SALIDA,1000,Retirada masiva inventario,admin
158,SALIDA,1000,Retirada masiva inventario,admin
159,SALIDA,1000,Retirada masiva inventario,admin
160,SALIDA,1000,Retirada masiva inventario,admin
161,SALIDA,1000,Retirada masiva inventario,admin
162,SALIDA,1000,Retirada masiva inventario,admin
163,SALIDA,1000,Retirada masiva inventario,admin
164,SALIDA,1000,Retirada masiva inventario,admin
165,SALIDA,1000,Retirada masiva inventario,admin
166,SALIDA,1000,Retirada masiva inventario,admin
167,SALIDA,1000,Retirada masiva inventario,admin
168,SALIDA,1000,Retirada masiva inventario,admin
169,SALIDA,1000,Retirada masiva inventario,admin
170,SALIDA,1000,Retirada masiva inventario,admin
171,SALIDA,1000,Retirada masiva inventario,admin
172,SALIDA,1000,Retirada masiva inventario,admin
173,SALIDA,1000,Retirada masiva inventario,admin
174,SALIDA,1000,Retirada masiva inventario,admin
175,SALIDA,1000,Retirada masiva inventario,admin
176,SALIDA,1000,Retirada masiva inventario,admin
177,SALIDA,1000,Retirada masiva inventario,admin
178,SALIDA,1000,Retirada masiva inventario,admin
179,SALIDA,1000,Retirada masiva inventario,admin
180,SALIDA,1000,Retirada masiva inventario,admin
181,SALIDA,1000,Retirada masiva inventario,admin
182,SALIDA,1000,Retirada masiva inventario,admin
183,SALIDA,1000,Retirada masiva inventario,admin
184,SALIDA,1000,Retirada masiva inventario,admin
185,SALIDA,1000,Retirada masiva inventario,admin
186,SALIDA,1000,Retirada masiva inventario,admin
187,SALIDA,1000,Retirada masiva inventario,admin
188,SALIDA,1000,Retirada masiva inventario,admin
189,SALIDA,1000,Retirada masiva inventario,admin
190,SALIDA,1000,Retirada masiva inventario,admin
191,SALIDA,1000,Retirada masiva inventario,admin
192,SALIDA,1000,Retirada masiva inventario,admin
193,SALIDA,1000,Retirada masiva inventario,admin
194,SALIDA,1000,Retirada masiva inventario,admin
195,SALIDA,1000,Retirada masiva inventario,admin
196,SALIDA,1000,Retirada masiva inventario,admin
197,SALIDA,1000,Retirada masiva inventario,admin
198,SALIDA,1000,Retirada masiva inventario,admin
199,SALIDA,1000,Retirada masiva inventario,admin
200,SALIDA,1000,Retirada masiva inventario,admin
201,SALIDA,1000,Retirada masiva inventario,admin
202,SALIDA,1000,Retirada masiva inventario,admin
203,SALIDA,1000,Retirada masiva inventario,admin
204,SALIDA,1000,Retirada masiva inventario,admin
205,SALIDA,1000,Retirada masiva inventario,admin
206,SALIDA,1000,Retirada masiva inventario,admin
207,SALIDA,1000,Retirada masiva inventario,admin
208,SALIDA,1000,Retirada masiva inventario,admin
209,SALIDA,1000,Retirada masiva inventario,admin
210,SALIDA,1000,Retirada masiva inventario,admin
211,SALIDA,1000,Retirada masiva inventario,admin
212,SALIDA,1000,Retirada masiva inventario,admin
213,SALIDA,1000,Retirada masiva inventario,admin
214,SALIDA,1000,Retirada masiva inventario,admin
215,SALIDA,1000,Retirada masiva inventario,admin
216,SALIDA,1000,Retirada masiva inventario,admin
217,SALIDA,1000,Retirada masiva inventario,admin
218,SALIDA,1000,Retirada masiva inventario,admin
219,SALIDA,1000,Retirada masiva inventario,admin
220,SALIDA,1000,Retirada masiva inventario,admin
221,SALIDA,1000,Retirada masiva inventario,admin
222,SALIDA,1000,Retirada masiva inventario,admin
223,SALIDA,1000,Retirada masiva inventario,admin
224,SALIDA,1000,Retirada masiva inventario,admin
225,SALIDA,1000,Retirada masiva inventario,admin
226,SALIDA,1000,Retirada masiva inventario,admin
227,SALIDA,1000,Retirada masiva inventario,admin
228,SALIDA,1000,Retirada masiva inventario,admin
229,SALIDA,1000,Retirada masiva inventario,admin
230,SALIDA,1000,Retirada masiva inventario,admin
231,SALIDA,1000,Retirada masiva inventario,admin
232,SALIDA,1000,Retirada masiva inventario,admin
233,SALIDA,1000,Retirada masiva inventario,admin
234,SALIDA,1000,Retirada masiva inventario,admin
235,SALIDA,1000,Retirada masiva inventario,admin
236,SALIDA,1000,Retirada masiva inventario,admin
237,SALIDA,1000,Retirada masiva inventario,admin
238,SALIDA,1000,Retirada masiva inventario,admin
239,SALIDA,1000,Retirada masiva inventario,admin
240,SALIDA,1000,Retirada masiva inventario,admin
241,SALIDA,1000,Retirada masiva inventario,admin
242,SALIDA,1000,Retirada masiva inventario,admin
243,SALIDA,1000,Retirada masiva inventario,admin
244,SALIDA,1000,Retirada masiva inventario,admin
245,SALIDA,1000,Retirada masiva inventario,admin
246,SALIDA,1000,Retirada masiva inventario,admin
247,SALIDA,1000,Retirada masiva inventario,admin
248,SALIDA,1000,Retirada masiva inventario,admin
249,SALIDA,1000,Retirada masiva inventario,admin
250,SALIDA,1000,Retirada masiva inventario,admin
251,SALIDA,1000,Retirada masiva inventario,admin
252,SALIDA,1000,Retirada masiva inventario,admin
253,SALIDA,1000,Retirada masiva inventario,admin
254,SALIDA,1000,Retirada masiva inventario,admin
255,SALIDA,1000,Retirada masiva inventario,admin
256,SALIDA,1000,Retirada masiva inventario,admin
257,SALIDA,1000,Retirada masiva inventario,admin
258,SALIDA,1000,Retirada masiva inventario,admin
259,SALIDA,1000,Retirada masiva inventario,admin
260,SALIDA,1000,Retirada masiva inventario,admin
261,SALIDA,1000,Retirada masiva inventario,admin
262,SALIDA,1000,Retirada masiva inventario,admin
263,SALIDA,1000,Retirada masiva inventario,admin
264,SALIDA,1000,Retirada masiva inventario,admin
265,SALIDA,1000,Retirada masiva inventario,admin
266,SALIDA,1000,Retirada masiva inventario,admin
267,SALIDA,1000,Retirada masiva inventario,admin
268,SALIDA,1000,Retirada masiva inventario,admin
269,SALIDA,1000,Retirada masiva inventario,admin
270,SALIDA,1000,Retirada masiva inventario,admin
271,SALIDA,1000,Retirada masiva inventario,admin
272,SALIDA,1000,Retirada masiva inventario,admin
273,SALIDA,1000,Retirada masiva inventario,admin
274,SALIDA,1000,Retirada masiva inventario,admin
275,SALIDA,1000,Retirada masiva inventario,admin
276,SALIDA,1000,Retirada masiva inventario,admin
277,SALIDA,1000,Retirada masiva inventario,admin
278,SALIDA,1000,Retirada masiva inventario,admin
279,SALIDA,1000,Retirada masiva inventario,admin
280,SALIDA,1000,Retirada masiva inventario,admin
281,SALIDA,1000,Retirada masiva inventario,admin
282,SALIDA,1000,Retirada masiva inventario,admin
283,SALIDA,1000,Retirada masiva inventario,admin
284,SALIDA,1000,Retirada masiva inventario,admin
285,SALIDA,1000,Retirada masiva inventario,admin
286,SALIDA,1000,Retirada masiva inventario,admin
287,SALIDA,1000,Retirada masiva inventario,admin
288,SALIDA,1000,Retirada masiva inventario,admin
289,SALIDA,1000,Retirada masiva inventario,admin
290,SALIDA,1000,Retirada masiva inventario,admin
291,SALIDA,1000,Retirada masiva inventario,admin
292,SALIDA,1000,Retirada masiva inventario,admin
293,SALIDA,1000,Retirada masiva inventario,admin
294,SALIDA,1000,Retirada masiva inventario,admin
295,SALIDA,1000,Retirada masiva inventario,admin
296,SALIDA,1000,Retirada masiva inventario,admin
297,SALIDA,1000,Retirada masiva inventario,admin
298,SALIDA,1000,Retirada masiva inventario,admin
299,SALIDA,1000,Retirada masiva inventario,admin
300,SALIDA,1000,Retirada masiva inventario,admin
301,SALIDA,1000,Retirada masiva inventario,admin
302,SALIDA,1000,Retirada masiva inventario,admin
303,SALIDA,1000,Retirada masiva inventario,admin
304,SALIDA,1000,Retirada masiva inventario,admin
305,SALIDA,1000,Retirada masiva inventario,admin
306,SALIDA,1000,Retirada masiva inventario,admin
307,SALIDA,1000,Retirada masiva inventario,admin
308,SALIDA,1000,Retirada masiva inventario,admin
309,SALIDA,1000,Retirada masiva inventario,admin
310,SALIDA,1000,Retirada masiva inventario,admin
311,SALIDA,1000,Retirada masiva inventario,admin
312,SALIDA,1000,Retirada masiva inventario,admin
313,SALIDA,1000,Retirada masiva inventario,admin
314,SALIDA,1000,Retirada masiva inventario,admin
315,SALIDA,1000,Retirada masiva inventario,admin
316,SALIDA,1000,Retirada masiva inventario,admin
317,SALIDA,1000,Retirada masiva inventario,admin
318,SALIDA,1000,Retirada masiva inventario,admin
319,SALIDA,1000,Retirada masiva inventario,admin
320,SALIDA,1000,Retirada masiva inventario,admin
321,SALIDA,1000,Retirada masiva inventario,admin
322,SALIDA,1000,Retirada masiva inventario,admin
323,SALIDA,1000,Retirada masiva inventario,admin
324,SALIDA,1000,Retirada masiva inventario,admin
325,SALIDA,1000,Retirada masiva inventario,admin
326,SALIDA,1000,Retirada masiva inventario,admin
327,SALIDA,1000,Retirada masiva inventario,admin
328,SALIDA,1000,Retirada masiva inventario,admin
329,SALIDA,1000,Retirada masiva inventario,admin
330,SALIDA,1000,Retirada masiva inventario,admin
331,SALIDA,1000,Retirada masiva inventario,admin
332,SALIDA,1000,Retirada masiva inventario,admin
333,SALIDA,1000,Retirada masiva inventario,admin
334,SALIDA,1000,Retirada masiva inventario,admin
335,SALIDA,1000,Retirada masiva inventario,admin
336,SALIDA,1000,Retirada masiva inventario,admin
337,SALIDA,1000,Retirada masiva inventario,admin
338,SALIDA,1000,Retirada masiva inventario,admin
339,SALIDA,1000,Retirada masiva inventario,admin
340,SALIDA,1000,Retirada masiva inventario,admin
341,SALIDA,1000,Retirada masiva inventario,admin
342,SALIDA,1000,Retirada masiva inventario,admin
